Prefecture,Date,Evacuees
Fukushima,2011-12,59464
Fukushima,2012-06,52084
Fukushima,2012-12,57954
Fukushima,2013-06,53960
Fukushima,2013-12,48944
Fukushima,2014-06,45279
Fukushima,2014-12,45934
Fukushima,2015-06,45395
Fukushima,2015-12,43497
Fukushima,2016-06,41375
Fukushima,2016-12,40059
Fukushima,2017-06,35661
Fukushima,2017-12,34263
Fukushima,2018-06,33622
Fukushima,2018-12,32880
Fukushima,2019-06,31608
Miyagi,2011-12,8603
Miyagi,2012-06,8330
Miyagi,2012-12,8079
Miyagi,2013-06,7644
Miyagi,2013-12,7159
Miyagi,2014-06,6813
Miyagi,2014-12,6810
Miyagi,2015-06,6944
Miyagi,2015-12,6533
Miyagi,2016-06,6072
Miyagi,2016-12,5542
Miyagi,2017-06,5317
Miyagi,2017-12,4982
Miyagi,2018-06,4446
Miyagi,2018-12,4237
Miyagi,2019-06,4081
Iwate,2011-12,1536
Iwate,2012-06,1563
Iwate,2012-12,1674
Iwate,2013-06,1555
Iwate,2013-12,1501
Iwate,2014-06,1441
Iwate,2014-12,1453
Iwate,2015-06,1548
Iwate,2015-12,1496
Iwate,2016-06,1406
Iwate,2016-12,1339
Iwate,2017-06,1307
Iwate,2017-12,1236
Iwate,2018-06,1099
Iwate,2018-12,1058
Iwate,2019-06,985
